Album Name,Track,Release date,Time
Don't smile at me,Copycat,07/13/2017,3:15
Don't smile at me,Watch,06/30/2017,2:58
Don't smile at me,Ocean Eyes,11/18/2016,3:21
Don't smile at me,Idontwannabeyouanymore,07/20/2017,3:24
Don't smile at me,Party Favor,04/21/2018,3:25
Don't smile at me,Hostage,08/11/2017,3:50
Don't smile at me,My Boy,07/27/2017,2:51
Don't smile at me,Bellyache,02/24/2017,3:00
Don't smile at me,&burn,12/15/2017,3:00
WWAFAWDWG,!!!!!!!,03/29/2019,0:14
WWAFAWDWG,Bad Guy,03/29/2019,3:14
WWAFAWDWG,Xanny,03/29/2019,4:04
WWAFAWDWG,You Should See Me In A Crown,03/29/2019,3:01
WWAFAWDWG,All The Good Girls Go To Hell,03/29/2019,2:42
WWAFAWDWG,Wish You Where gay,03/29/2019,3:42
WWAFAWDWG,When the Party's Over,03/29/2019,3:16
WWAFAWDWG,8,03/29/2019,2:53
WWAFAWDWG,My strange Addiction,03/29/2019,3:00
WWAFAWDWG,Bury A Friend,03/29/2019,3:13
WWAFAWDWG,Ilomilo,03/29/2019,2:16
WWAFAWDWG,Listen Before I go,03/29/2019,4:03
WWAFAWDWG,I Love You,03/29/2019,4:52
WWAFAWDWG,GoodBye,03/29/2019,1:59
Happier Than Ever,Happier Than Ever,07/30/2021,4:48
Happier Than Ever,Goldwing,07/30/2021,2:31
Happier Than Ever,Billie Bossa Nova,07/30/2021,3:16
Happier Than Ever,Lost Cause,07/30/2021,3:32
Happier Than Ever,Male Fantasy,07/30/2021,3:14
Happier Than Ever,Getting Older,07/30/2021,4:04
Happier Than Ever,Everybody Dies,07/30/2021,3:26
Happier Than Ever,OerHeated,07/30/2021,3:34
Happier Than Ever,Halley's comet,07/30/2021,3:54
Happier Than Ever,My Future,07/30/2021,3:30
Happier Than Ever,I Didn't Change My Number,07/30/2021,2:38
Happier Than Ever,Not My Responsability,07/30/2021,3:47
Happier Than Ever,Oxytocin,07/30/2021,3:30
Happier Than Ever,Your Power,07/30/2021,4:04
Hit Me Hard And Soft,SKINNY,05/17/2023,3:39
Hit Me Hard And Soft,Lunch,05/17/2023,2:59
Hit Me Hard And Soft,Shihiro,05/17/2023,5:03
Hit Me Hard And Soft,Birds Of A Feather,05/17/2023,3:30
Hit Me Hard And Soft,Wildflower,05/17/2023,4:21
Hit Me Hard And Soft,The Greatest,05/17/2023,4:53
Hit Me Hard And Soft,L'AMOUR DE MA VIE,05/17/2023,5:33
Hit Me Hard And Soft,The Diner,05/17/2023,3:06
Hit Me Hard And Soft,Bittersuit,05/17/2023,4:58
Hit Me Hard And Soft,BLUE,05/17/2023,5:43
